year,fish_hundreds,bears_hundreds
0.0,9.94592677244266,0.7247655146549101
1.0,15.640572113341227,2.5766345605680434
2.0,7.6723403341210155,6.301571894607429
3.0,1.4452936278643238,6.485971283948317
4.0,0.8101828206028867,4.77327469478631
5.0,0.4213927346290756,3.295627779315433
6.0,0.4608652563985246,2.060326895289527
7.0,0.20773231654287178,1.2558723228988582
8.0,0.9602817409387611,1.0169616202958895
9.0,1.741720022647102,0.7957592021925958
10.0,3.5534823523917045,0.5484766811236292
11.0,8.307868883031903,0.8761573399735577
12.0,15.065068325033923,1.740597317626981
13.0,11.24417827538118,5.534907040824452
14.0,2.4364968813916645,6.890555347861036
15.0,0.8527992291466693,5.153600998942064
16.0,0.14398919078297415,3.7543477196114177
17.0,-0.2635402845543967,2.5659979503701233
18.0,0.3141600553164898,1.8202510963373635
19.0,0.7454673788562983,1.1068056343166002
20.0,1.4909938495398385,1.1295755958950722
21.0,2.941519740019927,0.9058258929221058
22.0,6.645439040433144,0.5765313034447817
23.0,13.142020854624379,1.2798244597221944
24.0,13.873284882265413,4.257541701719033
25.0,3.901936367825408,7.091838063633151
26.0,0.9733499723747095,5.590254190290046
27.0,0.5701943313658987,3.966061302937162
28.0,0.07734009266874903,2.6917298924329582
29.0,0.4707160139884813,1.8882504888181715
30.0,0.61715654440593,1.3785925166975377
31.0,1.3746834089322102,0.9663625624371045
32.0,2.6516189834286576,0.536752700271016
33.0,5.301284878295389,0.44917508675680157
34.0,11.244217856526676,0.9938410683025878
35.0,15.952307379890549,3.0413140946051453
36.0,6.241126586798247,7.109722924308414
37.0,1.4427082638349253,5.922186255436122
38.0,0.45704661478181524,3.9672559894233244
39.0,0.7007026728051418,3.0780539205066275
40.0,0.4402993889666368,2.4055119208926157
41.0,0.7870699041116191,1.5410160181774157
42.0,0.9018469553844857,1.2293896845790915
43.0,1.7924779760467955,0.6772899169049974
44.0,3.9234311216182682,0.6463954718842988
45.0,9.106541333248828,0.9965165400590298
46.0,15.752924838668179,2.265349629340412
47.0,8.82316692640722,6.077162496391152
48.0,1.7304100064557626,6.465160928611713
49.0,0.767661243858872,4.95855873365962
50.0,0.54533104637415,3.3248318840890523
